src_seq	dst_seq
il n ’ en reste pas moins que la législation sociale est insuffisante , scandaleusement .	the fact remains that the social legislation is inadequate , and scandalously so .
si le texte a effectivement été amélioré en commission de l ’ emploi et des affaires sociales , il est vrai également qu ’ il conserve une tonalité marquée en faveur de l ’ interventionnisme et que tous les facteurs synonymes de développement économique et social dans l ’ union , tels que l ’ initiative privée , le marché ou la politique de concurrence , sont passés à la trappe et relégués au second plan .	though it is true that the text has been improved in the committee on employment and social affairs , it is also the case that it retains a tone which is clearly in favour of interventionism , and all the factors that mean economic and social development in the european union , such as private initiative , the market or competition policy , are forgotten and relegated to second place .
les négociations sur un accord-cadre entre l'union européenne et la libye ont été entamées en novembre 2008 .	negotiations on an eu-libya framework agreement started in november 2008 .
il n'y a pas de raison pour que les aides accordées par l'ue au titre de sa politique régionale conditionnent l'attribution d'aides à l'échelle nationale .	there is no good reason why state aid should be dependent on eu regional aid .
au cours de ma réunion avec le ministre des affaires étrangères martynov , j'ai insisté sur le fait que l'ue attend une réaction immédiate des pouvoirs publics biélorusses aux exigences de la communauté internationale .	in my meeting with foreign minister martynov , i emphasised that the eu expects an immediate response from the belarusian authorities to the demands of the international community .
d'abord , nous devons élever le tourisme au rang d'une politique communautaire à part entière , comme les orateurs qui m'ont précédé l'ont dit ; deuxièmement , nous devons réellement tout mettre en oeuvre , c'est-à-dire libérer les ressources nécessaires , pour permettre l'application du programme philoxenia car il permet de créer une politique communautaire , à savoir une politique touristique de l'union ; troisièmement , nous devons créer des possibilités garantissant une amélioration qualitative du personnel par le biais de programmes de mobilité et de formation de l'union européenne .	firstly , we should accord tourism the status of an autonomous community policy , and that has been stressed by those who spoke before me also ; secondly , we must do everything we can , that is to say , we must make available the resources to facilitate the philoxenia programme , because that could in the end produce a community policy that is to some extent a tourism policy for the union ; and , thirdly , we must create opportunities to improve staff quality through mobility and training programmes .
en ce qui concerne le troisième et le quatrième amendement , ils visent à étendre le droit aux soins de santé aux membres de la famille d'un travailleur transfrontalier et aux ex-travailleurs transfrontaliers résidant ou vivant dans un état membre différent de l'état membre compétent .	as regards the third and fourth amendments , they seek to extend the right to health care to members of the family of a frontier worker and to former frontier workers residing or staying in a member state other than the competent member state .
par conséquent , il n'est pas nécessaire de demander à la commission d'élaborer un nouvel instrument , d'élaborer une nouvelle initiative .	there is therefore no need to ask the commission to create a new instrument or launch a new initiative .
une fois de plus , l'europe est pionnière en la matière et nous devons être extrêmement attentifs à cette double difficulté .	europe is once again a pioneer in this area and we should be extremely mindful of this twofold problem .
la seule région à ne pas être incluse dans le processus de libéralisation du régime de visas est le kosovo .	the only region not included in the visa liberalisation process is kosovo .
au moins cinq personnes ont été tuées et plus de 100 blessées , et des membres du personnel sont portés disparus .	at least five people are reported dead and over 100 injured , and there are staff unaccounted for .
cela est dû avant tout au fait que nous n'accordons pas la même importance aux droits de l'homme , à la liberté et à la liberté d'expression .	above all , this is due to the fact that we have a different understanding of the importance of human rights , freedom and free speech .
nous devrions surmonter cette opposition entre contrôle militaire et civil .	this antithesis between military air traffic control and its civil counterpart is something we should overcome .
je voudrais , pour conclure , souligner que deux faits d'actualité , la promotion des programmes nationaux d'action contre le chômage et la refonte globale des fonds structurels régionaux constituent , je crois , une chance de lier le sujet dont nous discutons à ces questions majeures de l'union européenne .	in conclusion , i wish to stress that two topical issues , the promotion of national action programmes against unemployment and the reorganization of the structural funds for the regions are , taken together , i believe , an opportunity to link the issue we are debating with these major developments in the european union .
- monsieur le président , les résultats de la convention européenne viennent d ’ être imprimés dans une série d ’ ouvrages splendides à la couverture bleue , mais ils sont complètement illisibles .	mr president , the results of the eu convention have now been printed in a number of splendid , blue-backed books , but they are completely unreadable .
nous devons réserver un accueil favorable à l'esprit de ce rapport car , par son intermédiaire , le parlement demande le lancement d'une nouvelle pac en 2013 ; une politique qui réduit la charge bureaucratique pesant sur les épaules des agriculteurs .	we must welcome the spirit of this report positively , because with this report , parliament is calling for the introduction of a new cap in 2013 that cuts down on bureaucracy for farmers .
la deuxième question porte sur la sûreté , et en particulier sur la santé et la sécurité des travailleurs .	the second issue concerns safety , and the health and safety of workers in particular .
après la guerre commencera un travail laborieux , qui prendra essentiellement la forme d'une aide humanitaire .	the post-war period will see some arduous work begin , first of all of course in the form of humanitarian aid .
la contribution de l'allemagne baisse d'environ 847 millions d'euros par an , celle des pays-bas de 505 millions d'euros , et celle de la suède et de l'autriche d'environ 140 millions d'euros .	germany 's annual contribution will fall by around eur 847 million , that of the netherlands by eur 505 million , and that of sweden and austria by around eur 140 million .
madame la présidente , il s'agit en fait d'un ajustement budgétaire pour les systèmes et l'organisation administrative de la politique européenne de sécurité et de défense .	this , madam president , is an adjustment of the budget for the systems and administrative organisation of the european security and defence policy .
nulle part dans le monde démocratique , la complexité et la non-transparence ne dominent autant que dans la structure de pouvoir byzantine que l'ue a établie et qui est en expansion constante .	nowhere in the democratic world is complexity and non-transparency more dominant than in the byzantine power structure that the eu has established and that it is constantly extending further .
j'espère toujours qu'un réseau communautaire de surveillance et de contrôle constituera aux yeux de tous la solution aux problèmes que vous avez évoqués .	i would still hope that a community network of surveillance and control would be agreed as a good way forward to settling the matters you have referred to .
je considère toujours comme un problème de discuter d'un rapport d'enquête qui semble être et devient une discussion a posteriori sur quelque chose que l'on aurait dû empêcher .	i always see it as a problem when we discuss an investigative report that it appears , and becomes , a discussion after the event about something that should have been prevented .
si j'ai bien compris , pendant la période s'étalant de 1994 à 1999 , la somme de 226.487 millions d'écus a été allouée au ru à usage de commercialisation et de traitement .	i understand that from the period from 1994 to 1999 , ecu 226.487 million were available to the uk to use for marketing and processing .
pour terminer , quelques réflexions sur les actions extérieures de l ’ europe dans les domaines de la liberté , de la sécurité et de la justice .	lastly , a couple of final thoughts on europe ’ s external actions in the field of security , freedom and justice .
madame lulling , nous avons déjà parlé de la pologne et entendu les interventions à ce sujet , tant du présidente du conseil que du commissaire .	mrs lulling , we have already heard speeches on the matter from the president of the council and from the commissioner on the subject of poland .
projet de budget rectificatif n° 4/2007 ( vote )	draft amending budget no 4/2007 ( vote )
nous étions tous décidés à donner au headline goal et à ses capacités militaires la toute première priorité .	we have all decided to make the headline goal and its military capabilities our main priority .
les libertés de conscience et de culte n'étant pas formellement garanties par la constitution de cuba , les autorités cubaines décident de leur application au cas par cas .	freedom of conscience and religion are not expressly guaranteed to citizens under the cuban constitution and , therefore , their application by the cuban authorities is a question of practice on a case-by-case basis .
ce faisant , nous ramènerons l'espoir dans la population biélorusse .	if we do this , we will ensure that hope returns once again to the people of belarus .
